CDPHId,ProductName,CSFId,CSF,CompanyId,CompanyName,BrandName,PrimaryCategoryId,PrimaryCategory,SubCategoryId,SubCategory,CasId,CasNumber,ChemicalId,ChemicalName,InitialDateReported,MostRecentDateReported,DiscontinuedDate,ChemicalCreatedAt,ChemicalUpdatedAt,ChemicalDateRemoved,ChemicalCount
16,"Kyoto Pearl",329,"ALUMINUM POWDER",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17963,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
17,"Radiant RedFX",330,"D&C RED 6 BARIUM LAKE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17964,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
17,"Radiant RedFX",331,"D&C RED 7 CALCIUM LAKE",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17964,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
17,"Radiant RedFX",332,"MICA",11,"OPI PRODUCTS INC.","ABSOLUTE FX",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",17964,"Titanium dioxide","07/14/2009","12/30/2010","","06/09/2010","06/09/2010","",1
18,"SPECTRA LASH MASCARA",,"",4,"New Avon LLC","AVON",44,"Makeup Products (non-permanent)",162,"Mascara/Eyelash Products",656,"13463-67-7",24,"Titanium dioxide","07/20/2009","08/28/2013","02/01/2012","07/20/2009","07/20/2009","",1
24,"White Premium Lotion Soap",,"",181,"GOJO Industries, Inc.","GOJO",74,"Personal Care Products",170,"Hand Cleansers and Sanitizers",162,"68603-42-9",26,"Cocamide diethanolamine","07/23/2009","02/07/2012","","07/23/2009","02/07/2012","12/30/2010",0
26,"Professional Eyeshadow Base",337,"Beige",27,"CHANEL, INC","CHANEL",44,"Makeup Products (non-permanent)",48,"Eye Shadow",656,"13463-67-7",27,"Titanium dioxide","08/10/2009","12/30/2010","","08/10/2009","08/10/2009","",1
26,"Professional Eyeshadow Base",338,"Bright",27,"CHANEL, INC","CHANEL",44,"Makeup Products (non-permanent)",48,"Eye Shadow",656,"13463-67-7",27,"Titanium dioxide","08/10/2009","12/30/2010","","08/10/2009","08/10/2009","",1
27,"Inimitable Mascara",339,"Noir Indigo",27,"CHANEL, INC","CHANEL",44,"Makeup Products (non-permanent)",162,"Mascara/Eyelash Products",656,"13463-67-7",28,"Titanium dioxide","08/10/2009","12/30/2010","","08/10/2009","08/10/2009","",1
27,"Inimitable Mascara",340,"Noir Brun",27,"CHANEL, INC","CHANEL",44,"Makeup Products (non-permanent)",162,"Mascara/Eyelash Products",656,"13463-67-7",28,"Titanium dioxide","08/10/2009","12/30/2010","","08/10/2009","08/10/2009","",1
29,"Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion",,"",31,"Aloecare International, LLC","Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion",106,"Sun-Related Products",107,"Sunscreen (making a cosmetic claim) ",656,"13463-67-7",39,"Titanium dioxide","08/11/2009","08/11/2009","","08/21/2009","08/21/2009","08/21/2009",1
29,"Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion",,"",31,"Aloecare International, LLC","Aloe Up Lil' Kids SPF 45 Aloe Based Sunscreen Lotion",106,"Sun-Related Products",107,"Sunscreen (making a cosmetic claim) ",656,"13463-67-7",41,"Titanium dioxide","08/11/2009","08/11/2009","","08/21/2009","08/21/2009","",1
30,"Entity One Nudite Pink UV Gel",,"",33,"Entity Beauty, Inc.","Entity One UV Gel",59,"Nail Products",168,"UV Gel Nail Polish",656,"13463-67-7",29,"Titanium dioxide","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
31,"Entity One UV gels - white, natural white, clear and pink",,"",33,"Entity Beauty, Inc.","Entity One UV Gel",59,"Nail Products",168,"UV Gel Nail Polish",656,"13463-67-7",30,"Titanium dioxide","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
32,"Entity Enamel Base Coat",,"",33,"Entity Beauty, Inc.","Entity Nail Enamel",59,"Nail Products",61,"Basecoats and Undercoats",656,"13463-67-7",31,"Titanium dioxide","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
33,"Nudite Nail Sculpting Powders (6)",,"",33,"Entity Beauty, Inc.","Entity Nail Sculpting Powder",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",32,"Titanium dioxide","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
34,"Clear Nail Sculpting Powder",,"",33,"Entity Beauty, Inc.","Entity Nail Sculpting Powder",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",33,"Titanium dioxide","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
35,"Natural Nail Sculpting Powder",,"",33,"Entity Beauty, Inc.","Entity Nail Sculpting Powder",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",34,"Titanium dioxide","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
36,"White Nail Sculpting Powder",,"",33,"Entity Beauty, Inc.","Entity Nail Sculpting Powder",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",35,"Titanium dioxide","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
37,"UV Nail Topcoat",,"",33,"Entity Beauty, Inc.","Entity Nail Top Coat",59,"Nail Products",168,"UV Gel Nail Polish",658,"108-88-3",36,"Toluene","08/16/2009","02/17/2018","","08/16/2009","08/16/2009","",1
38,"Pure Blends Natural Lipgloss-Natural",,"",23,"Revlon Consumer Product Corporation","Almay",44,"Makeup Products (non-permanent)",52,"Lip Gloss/Shine",656,"13463-67-7",37,"Titanium dioxide","08/18/2009","08/18/2009","","08/18/2009","08/18/2009","",1
41,"Aloe Up Lil' Kids SPF 30+ Sunscreen Stick",,"",31,"Aloecare International, LLC","Aloe Up Lil' Kids SPF 30+ Sunscreen Stick",106,"Sun-Related Products",107,"Sunscreen (making a cosmetic claim) ",656,"13463-67-7",40,"Titanium dioxide","08/21/2009","08/21/2009","","08/21/2009","08/21/2009","",1
42,"Aloe Up SPF 30 Sunscreen Stick",,"",31,"Aloecare International, LLC","Aloe Up SPF 30 Sunscreen Stick",106,"Sun-Related Products",107,"Sunscreen (making a cosmetic claim) ",656,"13463-67-7",42,"Titanium dioxide","08/21/2009","08/21/2009","","08/21/2009","08/21/2009","",1
43,"Skin Prep Scrub",,"",43,"Dermalogica","Dermalogica",6,"Bath Products",166,"Scrubs and Exfoliants",162,"",43,"Cocamide diethanolamine","08/21/2009","08/21/2009","","08/21/2009","08/21/2009","",2
43,"Skin Prep Scrub",,"",43,"Dermalogica","Dermalogica",6,"Bath Products",166,"Scrubs and Exfoliants",656,"13463-67-7",581,"Titanium dioxide","08/21/2009","08/21/2009","","09/08/2009","09/08/2009","",2
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",353,"00",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",44,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",353,"00",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",45,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",353,"00",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",46,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",354,"01",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",44,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",354,"01",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",47,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",354,"01",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",50,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",355,"02",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",44,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",355,"02",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",48,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",355,"02",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",51,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",356,"03",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",44,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
44,"ECLAT MINUTE EMBELLISSEUR DE TEINT",356,"03",22,"CLARINS S.A.","CLARINS PARIS",44,"Makeup Products (non-permanent)",50,"Foundations and Bases",656,"13463-67-7",49,"Titanium dioxide","08/24/2009","12/30/2010","","08/24/2009","08/24/2009","",1
45,"Enzymatic Sea Mud - professional only",,"",43,"Dermalogica","Dermalogica",6,"Bath Products",166,"Scrubs and Exfoliants",730,"",52,"Chromium (hexavalent compounds)","08/24/2009","08/24/2009","","08/24/2009","08/24/2009","",1
46,"Colorstay 12 Hour Eye Shadow Quad- Copper Spice-champagne 99",,"",23,"Revlon Consumer Product Corporation","Revlon",44,"Makeup Products (non-permanent)",48,"Eye Shadow",656,"13463-67-7",53,"Titanium dioxide","08/25/2009","08/26/2009","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",1,"moonshine",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",1,"moonshine",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",10,"sugar shack",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",10,"sugar shack",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",11,"sweet cheeks",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",11,"sweet cheeks",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",12,"tahitian tingle",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",12,"tahitian tingle",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",13,"time for tea",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",13,"time for tea",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",14,"uptown girl",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",14,"uptown girl",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",15,"purple rain",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",15,"purple rain",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",16,"autumn mist",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",16,"autumn mist",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",17,"yellow paint",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",17,"yellow paint",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",18,"yellow acrylart",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",18,"yellow acrylart",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",19,"yellow 3D gel",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",19,"yellow 3D gel",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",2,"montechristo",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",2,"montechristo",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",20,"green paint",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",20,"green paint",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",21,"green arylart",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",21,"green arylart",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",22,"green 3D gel",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",22,"green 3D gel",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",23,"blue paint",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",23,"blue paint",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",24,"blue acrylart",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",24,"blue acrylart",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",25,"blue 3D gel",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",25,"blue 3D gel",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",3,"mango tango",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",3,"mango tango",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",65,"Nail Polish and Enamel",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
47,"Gel Polishes",357,"attitude",46,"McConnell Labs, Inc.","Light Elegance",59,"Nail Products",60,"Artificial Nails and Related Products",656,"13463-67-7",54,"Titanium dioxide","08/25/2009","12/30/2010","","08/25/2009","08/25/2009","",1
